ver,(transitive literally) to see to spot,ver,
veo,first-person singular present indicative of ver,ver,updated
que,that,que,
de,The name of the Latin-script letter D/d.,de,
no,not,no,
a,,a,
la,feminine singular definite article,la,
el,masculine singular definite article,el,
es,third-person singular present indicative of ser,ser,updated
y,The twenty-sixth letter of the Spanish alphabet called ye or i griega and written in the Latin script.,y,
en,in at on,en,
lo,accusative of él and usted (when referring to a man) and a variant of ello in many constructions,lo,
un,an,un,
por,by,por,
me,(personal) accusative of yo: me,me,
una,feminine of uno,uno,updated
te,The name of the Latin-script letter T/t.,te,
los,masculine plural of el (“the”),los,
se,A reflexive or reciprocal pronoun: oneself himself herself itself yourself,se,
con,with,con,
para,for to (expressing a recipient),para,
mi,(before the noun) apocopic form of mío my,mi,
si,if whether,si,
bien,well (adverbial form of bueno),bueno,updated
pero,but,pero,
yo,first-person singular pronoun in the nominative case,yo,
eso,neuter singular of ése,eso,
las,feminine plural definite article,las,
su,(before the noun) apocopic form of suyo his her its one's their your (formal),su,
tu,(before the noun) apocopic form of tuyo your,tu,
del,of the from the (+ a masculine noun in singular).,del,
al,contraction of a + el literally “at the to the”,al,
como,as (to such an extent or degree),como,
le,to him for him,él,updated
esto,neuter singular of este (“this”),esto,
ya,(with present tenses or the imperative) now (often as opposed to before) anymore no longer,ya,
todo,all,todo,
esta,feminine singular of este,este,updated
vamos,let's go!,vamos,
muy,(before adjectives and adverbs) apocopic form of mucho,muy,
hay,third-person singular present indicative of haber,haber,updated
ahora,now (at the present time),ahora,
algo,something anything,algo,
estoy,first-person singular present indicative of estar,estar,updated
tengo,first-person singular present indicative of tener,tener,updated
nos,dative of nosotros: to us for us,nos,
tÃº,,tÃº,
nada,nothing zero zilch not...anything,nada,
cuando,when,cuando,
ha,third-person singular present indicative of haber,haber,updated
este,this,este,
puedo,first-person singular present indicative of poder,poder,updated
quiero,first-person singular present indicative of querer,querer,updated
soy,first-person singular present indicative of ser,ser,updated
tiene,third-person singular present indicative of tener,tener,updated
gracias,thank you thanks,gracias,
o,The sixteenth letter of the Spanish alphabet called o and written in the Latin script.,o,
bueno,good,bueno,
fue,third-person singular preterite indicative of ir,ir,updated
ser,to be (essentially or identified as),ser,
hacer,(transitive) to do,hacer,
son,tone (pleasant sound),son,
todos,masculine plural of todo,todo,updated
era,first/third-person singular imperfect indicative of ser,ser,updated
eres,second-person singular present indicative of ser,ser,updated
vez,time instance,vez,
tienes,second-person singular present indicative of tener,tener,updated
creo,first-person singular present indicative of crear,crear,updated
ella,she her (used subjectively and after prepositions),ella,
he,(literary) here is [with (suffixed) accusative or aquí or ahí or allí],he,
ese,The name of the Latin-script letter S/s.,ese,
voy,first-person singular present indicative of ir,ir,updated
puede,it's possible,puede,
sabes,you know? (rhetorical question),sabes,
hola,hello hi hey,hola,
sus,c'mon,sus,
porque,because,porque,
dios,god,dios,
nunca,never,nunca,
quieres,second-person singular present indicative of querer,querer,updated
casa,house,casa,
favor,favor/favour,favor,
esa,feminine singular of ese,ese,updated
dos,two,dos,
tan,so as,tan,
tiempo,(also physics) time,tiempo,
verdad,truth,verdad,
estaba,first/third-person singular imperfect indicative of estar,estar,updated
mejor,better,mejor,
va,third-person singular present indicative of ir,ir,updated
hombre,man (adult male human),hombre,
usted,(formal) second person formal,usted,
mucho,(in the singular) much a lot of,mucho,
hace,third-person singular present indicative of hacer,hacer,updated
entonces,(demonstrative) then next thereupon at that time at that point,entonces,
siento,first-person singular present indicative of sentar,sentar,updated
tenemos,first-person plural present indicative of tener,tener,updated
puedes,second-person singular present indicative of poder,poder,updated
ti,prepositional of tú,tú,updated
vida,life,vida,
ver,(transitive literally) to see to spot,ver,
alguien,someone somebody,alguien,
sr,(proscribed) alternative form of Sr.,Sr.,updated
hasta,even,hasta,
sin,without,sin,
solo,sole,solo,
sobre,over above on upon atop,sobre,
decir,to say to tell,decir,
uno,one,uno,
siempre,always,siempre,
oh,oh (expression of awe surprise pain or realization),oh,
ir,(intransitive) to go (away from speaker and listener),ir,
cosas,plural of cosa,cosa,updated
antes,earlier,antes,
has,inflection of haber:,haber,updated
ni,(coordinating) neither... nor,ni,
mis,plural of mi,mi,updated
estar,(intransitive) to be (have a temporary or permanent location in space),estar,
estamos,first-person plural present indicative of estar,estar,updated
noche,night (the period between sunset and sunrise),noche,
nadie,no one,nadie,
otra,feminine singular of otro,otro,updated
quiere,inflection of querer:,querer,updated
parece,inflection of parecer:,parecer,updated
nosotros,we (masculine plural),nosotros,
poco,little not much,poco,
padre,(family) father,padre,
trabajo,work job,trabajo,
gente,people,gente,
mira,target,mira,
vas,inflection of ir:,ir,updated
sea,inflection of ser:,ser,updated
les,dative of ellos and ellas to them for them,les,
hecho,done completed,hecho,
ellos,plural of él (“they them”),él,updated
dijo,third-person singular preterite indicative of decir,decir,updated
pasa,raisin,pasa,
dinero,money,dinero,
hijo,son,hijo,
tal,such,tal,
otro,other another,otro,
hablar,(intransitive) to talk to speak to communicate using words,hablar,
seguro,secure safe (free from danger),seguro,
claro,clear easily understood,claro,
estas,feminine plural of este,este,updated
lugar,place,lugar,
mundo,world earth (human collective existence),mundo,
amigo,friend,amigo,
espera,wait,espera,
mierda,(uncountable) shit (solid excretory product evacuated from the bowels feces.),mierda,
han,third-person plural present indicative of haber,haber,updated
tus,plural of tu,tu,updated
sabe,inflection of saber:,saber,updated
momento,(time) moment instant,momento,
desde,since (from a specified time in the past),desde,
fuera,outside,fuera,
cosa,thing (object concept),cosa,
tipo,kind type sort manner,tipo,
podemos,inflection of podar:,podar,updated
dije,adorns locket,dije,
gran,(before the noun) apocopic form of grande great,grande,updated
necesito,first-person singular present indicative of necesitar,necesitar,updated
estado,country land (any broad area or territory),estado,
acuerdo,agreement,acuerdo,
tener,(transitive literally) to have to possess,tener,
dice,third-person singular present indicative of decir,decir,updated
crees,second-person singular present subjunctive of crear,crear,updated
buena,(obsolete) inheritance,buena,
gusta,inflection of gustar:,gustar,updated
nuestro,ours,nuestro,
nuevo,new,nuevo,
haciendo,gerund of hacer,hacer,updated
nombre,name,nombre,
buen,(before the noun) apocopic form of bueno (“good fine”),bueno,updated
ven,second-person singular imperative of venir,venir,updated
tres,three,tres,
menos,less,menos,
debe,inflection of deber:,deber,updated
mal,(before the noun) apocopic form of malo bad evil,malo,updated
conmigo,with me,conmigo,
madre,mother,madre,
hoy,today,hoy,
quien,who,quien,
sido,past participle of ser,ser,updated
tienen,third-person plural present indicative of tener,tener,updated
luego,then (afterward),luego,
todas,feminine plural of todo,todo,updated
toda,feminine singular of todo,todo,updated
hora,hour (a time period of sixty minutes),hora,
mujer,woman,mujer,
visto,seen,visto,
haces,plural of haz,haz,updated
importa,inflection of importar:,importar,updated
contigo,with you (singular),contigo,
ve,The name of the Latin-script letter V/v.,ve,
tarde,late,tarde,
oye,(exclamation informal) hey! listen! (call to attract attention of a single person),oye,
parte,part section portion share piece bit cut proportion,parte,
haber,(auxiliary) have forms the perfect aspect [with masculine singular past participle],haber,
hombres,plural of hombre,hombre,updated
problema,problem issue challenge (a difficulty or obstacle that has to be dealt with),problema,
mas,but,mas,
saber,to know to understand (a fact),saber,
aÃºn,,aÃºn,
veces,(mathematics) by times (multiplication),veces,
nuestra,feminine singular of nuestro,nuestro,updated
hacerlo,infinitive of hacer combined with lo,hacer,updated
cada,each every,cada,
hizo,third-person singular preterite indicative of hacer,hacer,updated
veo,first-person singular present indicative of ver,ver,updated
tanto,so much as much that much,tanto,
ustedes,(formal in Spain Equatorial Guinea Philippines) you (plural),ustedes,
idea,idea,idea,
esos,plural of ese those,ese,updated
van,van (vehicle),van,
debo,first-person singular present indicative of deber,deber,updated
alguna,feminine singular of alguno,alguno,updated
cierto,(of a person) true,cierto,
ud,(music historical) alternative form of oud,oud,updated
muerto,dead,muerto,
unos,masculine plural of un,un,updated
estos,masculine plural of este,este,updated
salir,to go out to leave to depart to head out,salir,
realmente,really actually genuinely,realmente,
demasiado,too much too many excessive,demasiado,
familia,family (a nuclear family),familia,
pueden,third-person plural present indicative of poder,poder,updated
cabeza,(anatomy) head,cabeza,
hemos,plural of hemo,hemo,updated
amigos,plural of amigo,amigo,updated
chica,female equivalent of chico: girl,chico,updated
lado,side,lado,
entre,between,entre,
minutos,plural of minuto,minuto,updated
digo,I mean used to explain or correct a previous utterance,digo,
algÃºn,,algÃºn,
serio,serious earnest sober solemn (without humor),serio,
cuidado,watch out!,cuidado,
buenas,(informal) hello hi,buenas,
somos,first-person plural present indicative of ser,ser,updated
amor,love,amor,
puerta,door (portal of entry into a building),puerta,
ves,inflection of ver:,ver,updated
vaya,expresses surprise: wow! why oh! whoa! well! man! boy!,vaya,
ah,ah (expression of relief realization awe),relief,ah
suerte,luck fortune,suerte,
eh,hey! (used to call draw attention warn or reprehend),eh,
cuenta,count tally,cuenta,
io,,io,
esas,(demonstrative) feminine plural of ese those,ese,updated
pues,so then in that case,pues,
pasado,past,pasado,
hermano,brother,hermano,
debes,second-person singular present indicative of deber,deber,updated
casi,almost,casi,
forma,shape form figure,forma,
aqui,misspelling of aquí,aquí,updated
chico,small,chico,
ok,,ok,
dicho,mentioned said aforementioned,dicho,
